Reference,Placement,Season,Station,Species,DateTime
12263,Trail,W,9,Serval,17/01/2014 15:00
12270,Trail,W,23,Leopard,17/01/2014 18:26
12293,Trail,W,32,Lion,18/01/2014 03:13
12335,Trail,W,24,Leopard,18/01/2014 17:54
12357,Trail,W,38,Lion,18/01/2014 22:34
12470,Trail,W,36,Leopard,20/01/2014 17:03
12487,Trail,W,8,Leopard,20/01/2014 20:47
12498,Trail,W,26,Serval,21/01/2014 04:50
12618,Trail,W,27,Serval,22/01/2014 18:39
12622,Trail,W,F,Lion,22/01/2014 20:05
12625,Trail,W,19,Leopard,22/01/2014 20:38
12634,Trail,W,28,Serval,22/01/2014 23:24
12641,Trail,W,A,Lion,23/01/2014 02:28
12658,Trail,W,19,Leopard,23/01/2014 09:59
12695,Trail,W,2,Wildcat,24/01/2014 01:46
12715,Trail,W,23,Leopard,24/01/2014 11:58
12755,Trail,W,F,Lion,25/01/2014 01:41
12763,Trail,W,24,Leopard,25/01/2014 06:55
12771,Trail,W,4,Serval,25/01/2014 08:49
12803,Trail,W,28,Serval,25/01/2014 20:47
12875,Trail,W,9,Lion,26/01/2014 22:26
12921,Trail,W,38,Leopard,27/01/2014 21:22
13043,Trail,W,28,Serval,29/01/2014 06:31
13046,Trail,W,24,Leopard,29/01/2014 07:10
13082,Trail,W,44,Leopard,29/01/2014 19:59
13084,Trail,W,44,Lion,29/01/2014 20:03
13160,Trail,W,44,Lion,30/01/2014 20:20
13187,Trail,W,55,Lion,31/01/2014 05:45
13195,Trail,W,24,Leopard,31/01/2014 07:58
13332,Trail,W,13,Lion,2/2/14 1:16
13340,Trail,W,24,Leopard,2/2/14 5:56
13348,Trail,W,13,Lion,2/2/14 6:51
13395,Trail,W,46,Serval,2/2/14 15:50
13402,Trail,W,46,Serval,2/2/14 18:09
13417,Trail,W,28,Lion,2/2/14 21:55
13433,Trail,W,28,Serval,3/2/14 4:43
13479,Trail,W,55,Lion,3/2/14 20:01
13541,Trail,W,19,Leopard,4/2/14 18:01
13546,Trail,W,37,Leopard,4/2/14 19:50
13597,Trail,W,19,Leopard,5/2/14 15:30
13609,Trail,W,A,Leopard,5/2/14 21:00
13793,Trail,W,23,Leopard,7/2/14 11:29
13825,Trail,W,27,Leopard,8/2/14 1:48
13856,Trail,W,24,Leopard,8/2/14 14:04
13888,Trail,W,8,Lion,8/2/14 21:34
13905,Trail,W,38,Leopard,9/2/14 5:18
13963,Trail,W,14,Lion,10/2/14 0:54
13966,Trail,W,32,Lion,10/2/14 2:52
13968,Trail,W,32,Lion,10/2/14 4:03
13992,Trail,W,5,Serval,10/2/14 13:32
14018,Trail,W,25,Leopard,11/2/14 3:25
14070,Trail,W,F,Lion,12/2/14 3:33
14128,Trail,W,28,Serval,12/2/14 21:23
14141,Trail,W,38,Lion,13/02/2014 02:09
14268,Trail,W,14,Cheetah,14/02/2014 21:27
14272,Trail,W,F,Leopard,14/02/2014 22:35
14287,Trail,W,24,Leopard,15/02/2014 07:39
14296,Trail,W,15,Lion,15/02/2014 10:18
14301,Trail,W,10,Lion,15/02/2014 11:22
14354,Trail,W,27,Lion,16/02/2014 00:49
14362,Trail,W,27,Lion,16/02/2014 02:32
14427,Trail,W,F,Lion,16/02/2014 21:37
14440,Trail,W,13,Serval,17/02/2014 06:14
14492,Trail,W,33,Lion,17/02/2014 17:17
14593,Trail,W,24,Leopard,19/02/2014 10:04
